Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank
Widowmaker,O,2.08,46.88,1.55,7.79,PC,Gold
"Wrecking Ball",T,2.06,50.15,2.09,2.49,PC,Gold
Pharah,O,2.04,51.07,1.87,11.68,PC,Gold
Orisa,T,1.97,53.22,1.94,8.16,PC,Gold
"Soldier: 76",O,1.64,48.71,1.91,9.49,PC,Gold
Mei,O,1.28,50.9,2.23,9.29,PC,Gold
Tracer,O,1.14,44.79,1.73,6.61,PC,Gold
Sombra,O,1.06,44.15,2.39,13.27,PC,Gold
Torbjorn,O,0.96,57.42,2.92,8.85,PC,Gold
Symmetra,S,0.95,56.75,3,8.7,PC,Gold
Doomfist,O,0.86,49.72,1.61,7.47,PC,Gold
Bastion,O,0.55,48.53,2.88,15.33,PC,Gold
Reinhardt,T,11.76,51.71,2.45,7.78,PC,Platinum
Ana,S,11.17,50.18,2.2,10.72,PC,Platinum
Zarya,T,7.5,50.8,2.29,10.02,PC,Platinum
Moira,S,6,52.01,2.3,9.8,PC,Platinum
Lucio,S,5.64,51.14,2.1,11.01,PC,Platinum
Zenyatta,S,5.53,52.79,2.24,7.12,PC,Platinum
Genji,O,4.81,50.4,1.89,11.34,PC,Platinum
McCree,O,4.7,47.52,1.71,10.33,PC,Platinum
Mercy,S,4.43,51.34,2.41,2.07,PC,Platinum
D.Va,T,4.03,50.86,2.22,6.53,PC,Platinum
Hanzo,O,3.6,49.35,2.13,13.18,PC,Platinum
Roadhog,T,3.02,51.34,1.69,9.73,PC,Platinum
Ashe,O,2.87,53.26,2.05,9.9,PC,Platinum
Widowmaker,O,2.83,49.42,1.74,8.77,PC,Platinum
Reaper,O,2.76,52.68,1.86,15.81,PC,Platinum
Winston,T,2.58,48.32,1.83,5.88,PC,Platinum
"Wrecking Ball",T,2.36,52.08,2.04,2.93,PC,Platinum
Brigitte,S,1.79,54.39,1.92,12.39,PC,Platinum
Tracer,O,1.63,46.88,1.55,6.95,PC,Platinum
Pharah,O,1.51,52.2,1.7,12.68,PC,Platinum
"Soldier: 76",O,1.42,51.26,1.77,9.75,PC,Platinum
Junkrat,O,1.42,52.93,2.49,10.15,PC,Platinum
Orisa,T,1.41,54.89,1.85,8.36,PC,Platinum
Sombra,O,1.26,48.08,2.03,14.31,PC,Platinum
Mei,O,1.01,52.95,2.1,8.9,PC,Platinum
Doomfist,O,0.97,53.43,1.62,7.41,PC,Platinum
Torbjorn,O,0.87,59.33,2.81,9.02,PC,Platinum
Symmetra,S,0.78,57.76,2.4,7.71,PC,Platinum
Bastion,O,0.36,52.91,2.35,16.4,PC,Platinum
Ana,S,12.71,51.86,2.11,10.96,PC,Diamond
Reinhardt,T,11.04,52.65,2.32,7.26,PC,Diamond
Zarya,T,8.3,52.45,2.1,11.02,PC,Diamond
Lucio,S,6.8,51.83,2.02,10.63,PC,Diamond
Zenyatta,S,6.38,53.96,1.88,6.43,PC,Diamond
Genji,O,5.75,52.43,1.64,11.41,PC,Diamond
McCree,O,4.66,49.18,1.65,10.18,PC,Diamond
Widowmaker,O,3.69,51.39,1.63,9.22,PC,Diamond
Hanzo,O,3.69,51.61,1.83,13.51,PC,Diamond
Moira,S,3.64,53.94,1.94,10.14,PC,Diamond
D.Va,T,3.51,51.04,1.8,5.57,PC,Diamond
Winston,T,3.43,50.4,1.88,5.83,PC,Diamond
Mercy,S,3.13,53.74,2.23,2.47,PC,Diamond
Ashe,O,2.88,55.42,1.66,10.17,PC,Diamond
"Wrecking Ball",T,2.82,54.01,1.65,2.91,PC,Diamond
Roadhog,T,2.73,53.11,1.53,9.38,PC,Diamond
Tracer,O,2.41,50.76,1.78,7.11,PC,Diamond
Brigitte,S,1.51,55.49,1.79,11.6,PC,Diamond
Sombra,O,1.5,51.65,1.93,14.76,PC,Diamond
"Soldier: 76",O,1.43,54.69,1.8,9.82,PC,Diamond
Reaper,O,1.39,52.86,1.73,13.96,PC,Diamond
Orisa,T,1.27,57.46,1.71,8.09,PC,Diamond
Doomfist,O,1.15,54.67,1.49,7.22,PC,Diamond
Pharah,O,0.96,51.24,1.2,12.15,PC,Diamond
Mei,O,0.91,57.28,2.68,7.78,PC,Diamond
Torbjorn,O,0.79,57.93,2.53,8.1,PC,Diamond
Junkrat,O,0.72,54.14,2.06,8.64,PC,Diamond
Symmetra,S,0.56,56.63,2.39,6.36,PC,Diamond
Bastion,O,0.24,49.16,1.52,15.46,PC,Diamond
Ana,S,13.92,51.62,1.83,11.17,PC,Master
Reinhardt,T,10.01,51.66,1.96,7.11,PC,Master
Lucio,S,9.62,50.48,2.05,11.08,PC,Master
Zarya,T,8.17,51.88,1.61,11.99,PC,Master
Zenyatta,S,6.67,54.48,1.99,6.32,PC,Master
Genji,O,5.06,52.49,1.26,10.66,PC,Master
Winston,T,4.84,49.92,2.08,5.68,PC,Master
D.Va,T,4.47,50.02,2.11,4.92,PC,Master
Widowmaker,O,4.01,53.15,1.61,8.38,PC,Master
McCree,O,3.56,49.4,1.56,9.44,PC,Master
Hanzo,O,3.54,50.3,1.62,12.65,PC,Master
"Wrecking Ball",T,3.18,52.91,1.61,2.98,PC,Master
Tracer,O,2.68,50.94,1.81,6.94,PC,Master
Mercy,S,2.67,53.26,1.82,2.63,PC,Master
Ashe,O,2.24,56.36,1.74,10.21,PC,Master
Roadhog,T,2.04,53.53,1.38,9.63,PC,Master
Brigitte,S,1.89,48.81,1.73,11.31,PC,Master
Sombra,O,1.89,50.36,1.59,14.77,PC,Master
Moira,S,1.78,52.92,1.49,10.04,PC,Master
Orisa,T,1.32,53.85,1.14,8.04,PC,Master
Doomfist,O,1.3,57.23,2.04,6.72,PC,Master
"Soldier: 76",O,1.28,53.7,2.21,9.31,PC,Master
Torbjorn,O,0.87,57.64,1.93,7.21,PC,Master
Mei,O,0.71,49.68,2.1,6.17,PC,Master
Reaper,O,0.69,54.98,1.15,13.45,PC,Master
Symmetra,S,0.53,55.84,2.15,5.53,PC,Master
Pharah,O,0.51,51.23,1.39,9.92,PC,Master
Junkrat,O,0.36,53.71,1.94,6.41,PC,Master
Bastion,O,0.17,49.73,1.58,13.96,PC,Master
Lucio,S,11.62,53.58,2.38,12.83,PC,Grandmaster
Ana,S,10.07,53.18,1.77,12.48,PC,Grandmaster
Reinhardt,T,8.85,53.3,1.85,9.35,PC,Grandmaster
Zarya,T,8.36,53.56,1.94,15.5,PC,Grandmaster
Zenyatta,S,7.25,53.56,2.35,9.79,PC,Grandmaster
D.Va,T,6.54,50.01,2.5,5.44,PC,Grandmaster
Winston,T,5.24,53.23,2.22,5.69,PC,Grandmaster
Widowmaker,O,4.15,52.53,1.18,9.31,PC,Grandmaster
Brigitte,S,3.75,53.14,2.52,14.52,PC,Grandmaster
"Wrecking Ball",T,3.67,53.66,1.89,3.18,PC,Grandmaster
Hanzo,O,3.4,52.42,1.54,13.14,PC,Grandmaster
Tracer,O,3.05,53.48,1.44,8.27,PC,Grandmaster
Genji,O,3,54.64,2.08,11.88,PC,Grandmaster
Mercy,S,2.91,56.64,2.09,1.83,PC,Grandmaster
McCree,O,2.41,50,0.98,9.75,PC,Grandmaster
Sombra,O,2.38,50.91,3.04,14.74,PC,Grandmaster
Roadhog,T,2.03,55.28,0.91,10.09,PC,Grandmaster
Ashe,O,1.78,57.28,1.8,11.19,PC,Grandmaster
Orisa,T,1.75,56.55,2.4,9.01,PC,Grandmaster
"Soldier: 76",O,1.48,59.21,2.17,11.41,PC,Grandmaster
Doomfist,O,1.23,60.48,2.47,8.06,PC,Grandmaster
Torbjorn,O,1.15,58.15,2.34,7.86,PC,Grandmaster
Moira,S,1.01,55.35,1.51,13.09,PC,Grandmaster
Mei,O,0.81,57.51,1.87,7.2,PC,Grandmaster
Symmetra,S,0.67,55.06,3.75,5.13,PC,Grandmaster
Junkrat,O,0.49,62.81,1.72,8.24,PC,Grandmaster
Pharah,O,0.4,52.54,0,12.49,PC,Grandmaster
Reaper,O,0.38,59.17,2.24,12.3,PC,Grandmaster
Bastion,O,0.18,54.29,0.94,16.39,PC,Grandmaster
Reinhardt,T,10.3,50.9,2.47,7.69,P5,All
Moira,S,7.76,50.85,2.48,9.56,P5,All
Lucio,S,7.75,52.27,2.14,12.14,P5,All
Mercy,S,7.61,50.37,2.4,1.73,P5,All
D.Va,T,5.92,51.63,2.2,8.34,P5,All
Zarya,T,5.64,50.06,2.38,10.85,P5,All
Ana,S,4.89,47.35,2.26,9.2,P5,All
Zenyatta,S,3.8,52.41,2.15,8.19,P5,All
Reaper,O,3.49,50.12,1.97,17.35,P5,All
Orisa,T,3.44,54.5,2.14,8.97,P5,All
Roadhog,T,3.27,49.89,1.56,10.64,P5,All
McCree,O,3.27,47.82,1.53,11.45,P5,All
Hanzo,O,3.23,48.16,2.04,14.02,P5,All
Genji,O,3.09,48.11,1.64,10.11,P5,All
Junkrat,O,2.77,51.13,2.67,11.67,P5,All
Widowmaker,O,2.58,47.77,1.55,9.44,P5,All
"Wrecking Ball",T,2.33,50.9,1.72,3.14,P5,All
Brigitte,S,2.15,55.09,1.86,12.86,P5,All
Pharah,O,2.14,49.79,1.92,13.9,P5,All
Ashe,O,2.11,50.11,1.86,9.53,P5,All
Sombra,O,1.9,46.98,2.14,15.67,P5,All
"Soldier: 76",O,1.87,50.7,1.77,11.43,P5,All
Tracer,O,1.66,46.78,1.44,9.1,P5,All
Symmetra,S,1.57,57.06,3.01,10.07,P5,All
Winston,T,1.33,46.53,1.78,5.01,P5,All
Torbjorn,O,1.26,54.51,2.5,9.49,P5,All
Mei,O,1.19,50.37,2.1,9.9,P5,All
Bastion,O,0.94,49.99,2.7,15.68,P5,All
Doomfist,O,0.76,48.93,1.59,7.27,P5,All
Moira,S,10.02,45.48,3.25,6.95,P5,Bronze
Mercy,S,8.77,45.99,2.44,0.83,P5,Bronze
D.Va,T,8.34,50.42,2.7,6.24,P5,Bronze
Reinhardt,T,8.32,43.37,2.16,5.13,P5,Bronze
Lucio,S,6.39,45.1,1.23,6.89,P5,Bronze
Orisa,T,5,46.56,2.02,6.03,P5,Bronze
Reaper,O,4.31,45.58,2.61,14.67,P5,Bronze
Junkrat,O,3.74,42.77,2.4,10.59,P5,Bronze
Symmetra,S,3.71,49.38,2.42,8.01,P5,Bronze
Zarya,T,3.59,39.12,0.63,5.46,P5,Bronze
Zenyatta,S,3.23,47.89,1.05,6.72,P5,Bronze
Ana,S,3.08,35.96,2.55,5.01,P5,Bronze
Sombra,O,2.84,27.6,1.19,6.68,P5,Bronze
Widowmaker,O,2.54,41.26,1.33,6.86,P5,Bronze
Brigitte,S,2.41,51.46,3.74,8.98,P5,Bronze
Mei,O,2.33,36.14,2.42,5.81,P5,Bronze
Genji,O,2.3,38,2.44,13.4,P5,Bronze
Roadhog,T,2.27,37.76,2.97,7.17,P5,Bronze
Bastion,O,2.19,38.62,3.08,12.35,P5,Bronze
