Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank
Sombra,O,4.01,55.98,1.86,19.86,P5,Grandmaster
Tracer,O,3.2,56.06,0.9,12.33,P5,Grandmaster
"Wrecking Ball",T,3.04,59.35,1.13,5.46,P5,Grandmaster
Ashe,O,2.99,58.64,1.15,14.96,P5,Grandmaster
"Soldier: 76",O,2.5,62.88,2.76,14.1,P5,Grandmaster
Zenyatta,S,2.46,54.82,0.7,7.07,P5,Grandmaster
Ana,S,2.19,56.99,0.79,10.68,P5,Grandmaster
D.Va,T,2.16,57.57,1.6,8.53,P5,Grandmaster
Genji,O,1.91,55.29,0.6,14.05,P5,Grandmaster
Symmetra,S,1.85,63.92,1.86,9.9,P5,Grandmaster
Moira,S,1.76,56.62,1.63,11.34,P5,Grandmaster
Junkrat,O,1.51,55.89,0,12.27,P5,Grandmaster
Reaper,O,1.04,54.14,0.55,15.54,P5,Grandmaster
Mei,O,0.99,52.66,1.74,9.31,P5,Grandmaster
Torbjorn,O,0.98,51.79,1.75,8.71,P5,Grandmaster
Winston,T,0.96,56.71,2.38,6.46,P5,Grandmaster
Doomfist,O,0.85,61.54,3.38,8.4,P5,Grandmaster
Brigitte,S,0.84,51.72,1.36,12.99,P5,Grandmaster
Bastion,O,0.71,62.3,1.61,19.77,P5,Grandmaster
Reinhardt,T,11.54,50.71,2.51,7.48,XB,All
Lucio,S,8.37,52.23,2.14,11.88,XB,All
Moira,S,7.92,50.59,2.31,9.21,XB,All
Mercy,S,6.72,49.73,2.38,1.7,XB,All
Zarya,T,6.24,50.09,2.24,11.02,XB,All
D.Va,T,5.85,50.97,2.28,7.91,XB,All
Ana,S,5.1,48.04,2.23,9.52,XB,All
Zenyatta,S,3.84,51.99,2.17,8.12,XB,All
Reaper,O,3.52,50.26,2.01,17.02,XB,All
McCree,O,3.12,48.17,1.58,11.37,XB,All
Orisa,T,3.05,53.79,2.34,8.83,XB,All
Roadhog,T,2.98,50.26,1.78,9.82,XB,All
Junkrat,O,2.98,51.57,2.7,11.88,XB,All
Hanzo,O,2.97,49.3,1.99,14,XB,All
Genji,O,2.77,47.41,1.85,10.04,XB,All
Widowmaker,O,2.65,48.31,1.43,9.15,XB,All
"Wrecking Ball",T,2.48,51.47,2.1,3.08,XB,All
Brigitte,S,2.47,54.34,1.82,12.45,XB,All
Ashe,O,2.09,50.87,1.98,9.09,XB,All
"Soldier: 76",O,1.68,50.54,1.82,11.09,XB,All
Sombra,O,1.65,47.02,2.46,15.28,XB,All
Symmetra,S,1.59,56.88,2.79,9.74,XB,All
Tracer,O,1.55,47.29,1.43,9.02,XB,All
Winston,T,1.35,46.39,1.46,4.95,XB,All
Mei,O,1.34,51.62,2.07,9.71,XB,All
Pharah,O,1.32,49.06,1.53,10.61,XB,All
Torbjorn,O,1.28,56.28,2.91,9.6,XB,All
Doomfist,O,0.78,50.01,1.52,7.25,XB,All
Bastion,O,0.78,49.75,2.97,15.52,XB,All
D.Va,T,10.7,47.1,1.9,6.07,XB,Bronze
Moira,S,9.17,51.25,1.48,5.73,XB,Bronze
Lucio,S,8.42,43.41,2.41,8.1,XB,Bronze
Mercy,S,7.11,42.21,2.22,0.85,XB,Bronze
Orisa,T,5.58,51.48,4.05,4.72,XB,Bronze
Reinhardt,T,5.13,42.22,0.88,4.91,XB,Bronze
Ana,S,3.84,41.82,2.94,6.3,XB,Bronze
Junkrat,O,3.66,42.77,1.85,15.48,XB,Bronze
Widowmaker,O,3.48,34.87,1.3,10.27,XB,Bronze
Genji,O,3.43,43.71,0.66,13.44,XB,Bronze
Torbjorn,O,2.98,51.56,3.03,7.65,XB,Bronze
Zenyatta,S,2.87,50,2.36,8.62,XB,Bronze
Reaper,O,2.73,40.34,1.65,12.23,XB,Bronze
Ashe,O,2.62,41.59,2.59,5.53,XB,Bronze
"Wrecking Ball",T,2.62,34.78,0.86,3.08,XB,Bronze
Brigitte,S,2.57,50.88,0,7.88,XB,Bronze
Sombra,O,2.37,31.73,0.95,7.1,XB,Bronze
Symmetra,S,2.37,49,4.76,7.05,XB,Bronze
Bastion,O,2.1,41.76,2.15,12.25,XB,Bronze
Tracer,O,2.08,37.36,1.09,5.94,XB,Bronze
Roadhog,T,2.08,41.57,3.26,12.47,XB,Bronze
Pharah,O,2.03,40.91,2.22,8.15,XB,Bronze
Hanzo,O,1.83,31.65,2.47,15.61,XB,Bronze
"Soldier: 76",O,1.72,42.67,1.32,13.97,XB,Bronze
Zarya,T,1.51,40.3,0,9.43,XB,Bronze
McCree,O,1.33,25.86,1.69,14.09,XB,Bronze
Doomfist,O,1.24,18.87,3.64,5.49,XB,Bronze
Winston,T,1.24,41.82,0,3.79,XB,Bronze
Mei,O,1.2,32.08,0,8.16,XB,Bronze
Moira,S,10.09,48.01,2.44,8.16,XB,Silver
D.Va,T,9.71,49.05,2.14,7.67,XB,Silver
Reinhardt,T,8.45,45.65,2.66,6.29,XB,Silver
Mercy,S,8.22,45.89,2.27,1.21,XB,Silver
Lucio,S,7.99,51.14,2.16,10.61,XB,Silver
Orisa,T,4.57,49.66,2.16,6.98,XB,Silver
Junkrat,O,4.34,46.36,1.96,11.63,XB,Silver
Reaper,O,4.06,47,2.03,16.59,XB,Silver
Zenyatta,S,3.55,49.01,2.08,8.76,XB,Silver
Ana,S,3.35,43.45,1.8,7.01,XB,Silver
Zarya,T,2.96,44.71,2.22,6.83,XB,Silver
Brigitte,S,2.66,51.57,1.44,11.15,XB,Silver
Symmetra,S,2.58,56.22,1.8,10,XB,Silver
Hanzo,O,2.3,44.7,2.03,11.79,XB,Silver
"Soldier: 76",O,2.21,41.74,1.61,11.31,XB,Silver
Widowmaker,O,2.03,41.04,1.22,6.68,XB,Silver
Roadhog,T,1.96,43.97,1.54,7.71,XB,Silver
Ashe,O,1.89,47.21,1.3,6.43,XB,Silver
"Wrecking Ball",T,1.81,47.09,1.51,2.82,XB,Silver
Torbjorn,O,1.8,51.94,1.98,10.02,XB,Silver
Pharah,O,1.79,46.01,1.99,7.42,XB,Silver
Bastion,O,1.78,45.35,2.46,15.33,XB,Silver
Mei,O,1.72,45.39,3.34,9.14,XB,Silver
Genji,O,1.69,42.1,2.44,10.31,XB,Silver
Winston,T,1.58,45.13,2.08,3.97,XB,Silver
Sombra,O,1.49,43.4,3.51,9.71,XB,Silver
McCree,O,1.45,43.76,1.33,10.46,XB,Silver
Tracer,O,1.29,43.87,1.48,7.59,XB,Silver
Doomfist,O,0.68,44.44,2.8,5.17,XB,Silver
Reinhardt,T,10.46,49.88,2.55,7.34,XB,Gold
Moira,S,10.12,48.96,2.33,8.75,XB,Gold
Lucio,S,8.27,51.71,2.25,11.05,XB,Gold
Mercy,S,7.49,47.03,2.64,1.39,XB,Gold
D.Va,T,7.3,50.09,2.36,7.94,XB,Gold
Zarya,T,4.71,47.15,2.57,8.4,XB,Gold
Reaper,O,4.2,49.69,2.28,17.22,XB,Gold
Orisa,T,4.2,52.77,2.9,8.47,XB,Gold
Junkrat,O,4.09,50.19,2.94,11.82,XB,Gold
Ana,S,4.07,43.11,2.58,8.21,XB,Gold
Zenyatta,S,3.66,50.63,1.85,8.45,XB,Gold
Brigitte,S,2.79,53.12,2.04,12.08,XB,Gold
Hanzo,O,2.54,47.68,1.61,12.73,XB,Gold
Roadhog,T,2.44,46.45,2.05,7.8,XB,Gold
"Wrecking Ball",T,2.2,48.77,2.24,2.59,XB,Gold
Widowmaker,O,2.11,45.37,1.64,7.77,XB,Gold
McCree,O,1.99,45.55,1.52,10.15,XB,Gold
Symmetra,S,1.9,54.3,3.45,9.81,XB,Gold
Ashe,O,1.89,48.76,2.19,7.76,XB,Gold
Genji,O,1.85,44.24,2.05,8.31,XB,Gold
"Soldier: 76",O,1.8,49.62,2.39,10.63,XB,Gold
Mei,O,1.59,50.73,2.35,10.4,XB,Gold
Pharah,O,1.47,46.22,1.43,8.9,XB,Gold
Torbjorn,O,1.43,55.98,3.31,9.5,XB,Gold
Winston,T,1.29,44.67,1.37,4.44,XB,Gold
Sombra,O,1.24,42.86,2.1,12.72,XB,Gold
Tracer,O,1.22,43.58,1.79,8.62,XB,Gold
Bastion,O,1.06,48.83,3.9,15.21,XB,Gold
Doomfist,O,0.58,45.35,1.21,6.68,XB,Gold
Reinhardt,T,11.97,50.53,2.63,7.66,XB,Platinum
Moira,S,8.29,50.99,2.28,9.55,XB,Platinum
Lucio,S,7.67,52.35,2.15,12.26,XB,Platinum
Mercy,S,6.34,49.83,2.47,1.75,XB,Platinum
Zarya,T,6.25,49.6,2.47,10.76,XB,Platinum
D.Va,T,5.72,52.01,2.39,8.26,XB,Platinum
Ana,S,5.53,48.33,2.28,9.7,XB,Platinum
Zenyatta,S,3.91,51.85,2.41,8.31,XB,Platinum
Reaper,O,3.76,50.11,2.1,17.5,XB,Platinum
McCree,O,3.19,47.38,1.6,11.49,XB,Platinum
Junkrat,O,3.14,52.29,2.84,12.44,XB,Platinum
Genji,O,3.06,46.54,1.98,10.3,XB,Platinum
Hanzo,O,2.99,49.12,2.48,14.45,XB,Platinum
Roadhog,T,2.92,50.63,2.04,10.09,XB,Platinum
Orisa,T,2.76,54.47,2.18,9.51,XB,Platinum
Brigitte,S,2.65,55.6,1.84,12.82,XB,Platinum
"Wrecking Ball",T,2.56,51.03,2.14,3.08,XB,Platinum
Widowmaker,O,2.56,48.14,1.49,9.25,XB,Platinum
Ashe,O,2.13,50.15,1.83,9.08,XB,Platinum
"Soldier: 76",O,1.59,50.02,1.86,11.18,XB,Platinum
Sombra,O,1.58,46.63,2.8,15.33,XB,Platinum
Tracer,O,1.53,46.66,1.51,8.85,XB,Platinum
Symmetra,S,1.44,57.47,2.51,10.46,XB,Platinum
Mei,O,1.35,51.09,2.06,9.98,XB,Platinum
Pharah,O,1.3,50.11,1.62,10.99,XB,Platinum
Winston,T,1.25,46.91,1.65,5.05,XB,Platinum
Torbjorn,O,1.13,57.59,3.11,10.04,XB,Platinum
Doomfist,O,0.86,51.61,1.59,7.63,XB,Platinum
Bastion,O,0.58,49.63,2.9,16.39,XB,Platinum
Reinhardt,T,12.91,52.15,2.52,7.6,XB,Diamond
Lucio,S,8.83,53.03,2.22,12.22,XB,Diamond
Zarya,T,8.05,52.55,1.93,12.27,XB,Diamond
Moira,S,6.15,53.88,2.36,9.85,XB,Diamond
Ana,S,5.83,50.79,2.18,10.17,XB,Diamond
Mercy,S,5.66,52.78,2.16,2.02,XB,Diamond
McCree,O,4.21,50.11,1.83,11.5,XB,Diamond
Zenyatta,S,4.14,53.96,2.04,7.66,XB,Diamond
D.Va,T,4.1,52.08,2.15,7.57,XB,Diamond
Roadhog,T,3.64,52.74,1.58,10.61,XB,Diamond
Genji,O,3.51,51.25,1.68,10.31,XB,Diamond
Hanzo,O,3.43,51.55,1.49,14.3,XB,Diamond
Widowmaker,O,3.23,51.34,1.36,10.06,XB,Diamond
Reaper,O,3.03,53.26,1.45,16.55,XB,Diamond
"Wrecking Ball",T,2.64,54.61,2.11,3.12,XB,Diamond
Ashe,O,2.13,53.99,2.1,10.11,XB,Diamond
Brigitte,S,2.11,54.46,1.7,12.74,XB,Diamond
Orisa,T,1.99,55.63,1.76,9.09,XB,Diamond
Junkrat,O,1.88,56.13,2.44,10.97,XB,Diamond
Sombra,O,1.84,49.85,2.58,17.04,XB,Diamond
Tracer,O,1.79,51.22,1.4,9.69,XB,Diamond
"Soldier: 76",O,1.6,54.1,1.46,10.99,XB,Diamond
Winston,T,1.37,46.78,1.31,5.6,XB,Diamond
Symmetra,S,1.26,61.67,2.91,8.86,XB,Diamond
Torbjorn,O,1.16,57.36,2.71,9.52,XB,Diamond
Mei,O,1.09,57.69,1.56,9.18,XB,Diamond
Pharah,O,1.09,51.26,1.82,12.52,XB,Diamond
Doomfist,O,0.88,52.53,1.62,7.16,XB,Diamond
Bastion,O,0.47,52.33,2.1,15.51,XB,Diamond
Reinhardt,T,12.89,51.54,2.02,7.15,XB,Master
Lucio,S,10.93,51.47,1.78,12.22,XB,Master
Zarya,T,8.94,51.71,1.95,12.52,XB,Master
Mercy,S,6.78,54.01,2.1,2.28,XB,Master
Ana,S,6.41,51.5,1.62,10.6,XB,Master
McCree,O,4.65,50.93,1.21,11.36,XB,Master
Zenyatta,S,3.9,52.62,2.49,6.93,XB,Master
Roadhog,T,3.76,50.79,1.08,10.07,XB,Master
Moira,S,3.67,52.58,2.15,9.61,XB,Master
Widowmaker,O,3.43,49.3,1.05,9.28,XB,Master
Hanzo,O,3.35,50.86,2.02,13.94,XB,Master
Genji,O,3.19,48.28,1.27,9.99,XB,Master
D.Va,T,3.1,50.11,1.46,6.81,XB,Master
"Wrecking Ball",T,3.06,54.59,2.06,3.72,XB,Master
Sombra,O,2.38,49.42,1.9,16.62,XB,Master
Orisa,T,2.16,55.45,1.25,9.36,XB,Master
Ashe,O,2.13,52.93,2.12,10.15,XB,Master
Tracer,O,1.94,48.71,0.7,8.74,XB,Master
Reaper,O,1.83,50.69,1.35,14.12,XB,Master
Winston,T,1.66,46.99,0.68,5.27,XB,Master
Brigitte,S,1.65,54.53,1.78,12.34,XB,Master
"Soldier: 76",O,1.38,54.74,1.31,10.15,XB,Master
Symmetra,S,1.27,54.73,2.31,8,XB,Master
Torbjorn,O,1.18,54.92,2.87,8.39,XB,Master
Pharah,O,1.05,52.58,0.21,13.51,XB,Master
Mei,O,0.96,53.94,1.18,6.71,XB,Master
Junkrat,O,0.95,60.14,1.9,8.37,XB,Master
Doomfist,O,0.84,53.91,0.8,7.85,XB,Master
Bastion,O,0.56,55.1,1.21,13.82,XB,Master
Reinhardt,T,10.99,57.04,1.94,8.57,XB,Grandmaster
Lucio,S,9.33,57.7,1.52,14.08,XB,Grandmaster
Mercy,S,9.21,57.32,1.46,2.07,XB,Grandmaster
Zarya,T,8.98,53.61,1.32,17.47,XB,Grandmaster
McCree,O,4.96,50.65,1.12,14.85,XB,Grandmaster
Roadhog,T,4.8,58.74,0.99,14.18,XB,Grandmaster
Hanzo,O,4.44,51.72,1.96,17.62,XB,Grandmaster
D.Va,T,4.05,53.61,2.73,8.21,XB,Grandmaster
Ana,S,3.92,55.53,1.61,12.3,XB,Grandmaster
Widowmaker,O,3.91,57.79,1.41,11.94,XB,Grandmaster
Ashe,O,3.45,58.08,2.06,14.21,XB,Grandmaster
Sombra,O,3.34,56.12,1.18,21.39,XB,Grandmaster
Zenyatta,S,2.91,57.73,1.63,8.6,XB,Grandmaster
Genji,O,2.89,51.52,1.37,12.87,XB,Grandmaster
Tracer,O,2.81,52.69,0.84,11.72,XB,Grandmaster
"Wrecking Ball",T,2.75,57.89,1.72,4.9,XB,Grandmaster
Orisa,T,2.36,66.21,1.68,11.81,XB,Grandmaster
"Soldier: 76",O,2.19,60.87,0.36,15.66,XB,Grandmaster
Winston,T,1.77,53.88,2.23,5,XB,Grandmaster
Symmetra,S,1.6,61.93,2.48,9.42,XB,Grandmaster
Pharah,O,1.49,56.68,0.53,15.86,XB,Grandmaster
Torbjorn,O,1.47,57.84,0.54,8.59,XB,Grandmaster
Brigitte,S,1.26,56.96,1.25,14.25,XB,Grandmaster
Bastion,O,1.13,66.91,2.8,16.94,XB,Grandmaster
Reaper,O,1.08,51.49,2.19,17.09,XB,Grandmaster
Mei,O,0.97,52.03,0,9.8,XB,Grandmaster
Doomfist,O,0.83,50.48,0,8.97,XB,Grandmaster
Moira,S,0.68,47.06,1.16,11.9,XB,Grandmaster
Junkrat,O,0.43,49.09,0,9.98,XB,Grandmaster
