Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
Soldier: 76,OFFENSE,1.87,46.41,2.13,9.51,PC,Silver,42:19.9
Widowmaker,DEFENSE,1.64,44.05,1.75,7.32,PC,Silver,42:19.9
Mei,DEFENSE,1.5,47.66,2.37,10.18,PC,Silver,42:19.9
Torbjorn,DEFENSE,1.38,54,2.7,9.2,PC,Silver,42:19.9
Symmetra,SUPPORT,1.16,54.09,2.68,8.85,PC,Silver,42:19.9
Tracer,OFFENSE,1.04,42.54,1.77,6.81,PC,Silver,42:19.9
Bastion,DEFENSE,0.93,46.15,3.03,14.49,PC,Silver,42:19.9
Sombra,OFFENSE,0.92,40.76,2.57,10.74,PC,Silver,42:19.9
Doomfist,OFFENSE,0.67,47.01,1.94,7.59,PC,Silver,42:19.9
Reinhardt,TANK,11.75,49.43,2.57,7.98,PC,Gold,42:19.9
Ana,SUPPORT,9.44,47.52,2.24,9.57,PC,Gold,42:19.9
Moira,SUPPORT,7.96,49.63,2.46,9.09,PC,Gold,42:19.9
Zarya,TANK,6.08,48.54,2.34,8.27,PC,Gold,42:19.9
Mercy,SUPPORT,5.99,49.4,2.56,1.7,PC,Gold,42:19.9
D.Va,TANK,5.39,49.69,2.31,6.53,PC,Gold,42:19.9
Lucio,SUPPORT,5.32,50.41,1.92,10.63,PC,Gold,42:19.9
Zenyatta,SUPPORT,4.44,51.76,2.26,7.2,PC,Gold,42:19.9
McCree,OFFENSE,3.76,45.97,1.77,9.9,PC,Gold,42:19.9
Genji,OFFENSE,3.71,48.22,1.91,10.46,PC,Gold,42:19.9
Reaper,OFFENSE,3.6,50.46,2.01,16.37,PC,Gold,42:19.9
Hanzo,DEFENSE,2.94,47,2.16,12,PC,Gold,42:19.9
Roadhog,TANK,2.81,48.62,1.81,8.47,PC,Gold,42:19.9
Junkrat,DEFENSE,2.65,50.29,2.52,10.82,PC,Gold,42:19.9
Ashe,OFFENSE,2.54,51.07,2.1,8.89,PC,Gold,42:19.9
Brigitte,SUPPORT,2.33,54.24,2.04,12.7,PC,Gold,42:19.9
Winston,TANK,2.18,46.66,1.72,5.32,PC,Gold,42:19.9
Widowmaker,DEFENSE,2.08,46.88,1.55,7.79,PC,Gold,42:19.9
Wrecking Ball,TANK,2.06,50.15,2.09,2.49,PC,Gold,42:19.9
Pharah,OFFENSE,2.04,51.07,1.87,11.68,PC,Gold,42:19.9
Orisa,TANK,1.97,53.22,1.94,8.16,PC,Gold,42:19.9
Soldier: 76,OFFENSE,1.64,48.71,1.91,9.49,PC,Gold,42:19.9
Mei,DEFENSE,1.28,50.9,2.23,9.29,PC,Gold,42:19.9
Tracer,OFFENSE,1.14,44.79,1.73,6.61,PC,Gold,42:19.9
Sombra,OFFENSE,1.06,44.15,2.39,13.27,PC,Gold,42:19.9
Torbjorn,DEFENSE,0.96,57.42,2.92,8.85,PC,Gold,42:19.9
Symmetra,SUPPORT,0.95,56.75,3,8.7,PC,Gold,42:19.9
Doomfist,OFFENSE,0.86,49.72,1.61,7.47,PC,Gold,42:19.9
